year,donor_code,donor_name,category_code,category_name,value,iati_usd_mil,percent_difference
2010.0,1312.0,Global Fund,10.0,ODA,,3118.08017212,
2010.0,1624.0,William and Flora Hewlett Foundation,30.0,Private Development Finance,,92.11286,
2011.0,2.0,Belgium,10.0,ODA,,252.7210678312,
2011.0,3.0,Denmark,10.0,ODA,,1970.816256923142,
2011.0,5.0,Germany,10.0,ODA,,892.345423150484,
2011.0,6.0,Italy,10.0,ODA,,25.663140308156,
2011.0,7.0,Netherlands,10.0,ODA,,3621.3503677466,
2011.0,7.0,Netherlands,30.0,Private Development Finance,,30.148301508532,
2011.0,8.0,Norway,10.0,ODA,,77.09326690777576,
2011.0,12.0,United Kingdom,10.0,ODA,,8273.797049755141,
2011.0,21.0,Ireland,10.0,ODA,,0.0,
2011.0,69.0,Slovak Republic,10.0,ODA,,3.0373280706,
2011.0,301.0,Canada,10.0,ODA,,146.7386214032098,
2011.0,576.0,United Arab Emirates,10.0,ODA,,40.40653145,
2011.0,801.0,Australia,10.0,ODA,,1764.0729908606004,
2011.0,820.0,New Zealand,10.0,ODA,,103.22305932503392,
2011.0,905.0,International Development Association,10.0,ODA,,6575.019903,
2011.0,905.0,International Development Association,20.0,OOF,,9077.331513,
2011.0,909.0,Inter-American Development Bank,20.0,OOF,,7758.115333,
2011.0,913.0,African Development Bank,10.0,ODA,,3740.8196064712624,
2011.0,914.0,African Development Fund,10.0,ODA,,3740.8196064712624,
2011.0,918.0,EU Institutions,10.0,ODA,,312.97129705645204,
2011.0,976.0,Islamic Development Bank,10.0,ODA,,290.13506719,
2011.0,976.0,Islamic Development Bank,21.0,Non-export credit OOF,,1585.5767939500001,
2011.0,988.0,IFAD,20.0,OOF,,553.9312831167692,
2011.0,1014.0,Private Infrastructure Development Group,36.0,Private Foreign Direct Investment,,78.63280173649999,
2011.0,1311.0,Global Alliance for Vaccines and Immunization,10.0,ODA,,686.6102885800001,
2011.0,1312.0,Global Fund,10.0,ODA,,2690.24101195,
2011.0,1624.0,William and Flora Hewlett Foundation,30.0,Private Development Finance,,72.016953,
2012.0,2.0,Belgium,10.0,ODA,,129.9685331834,
2012.0,3.0,Denmark,10.0,ODA,,1960.03751358287,
2012.0,5.0,Germany,10.0,ODA,,1629.53929792402,
2012.0,6.0,Italy,10.0,ODA,,14.81942997875,
2012.0,7.0,Netherlands,10.0,ODA,,3330.4054525451998,
2012.0,7.0,Netherlands,30.0,Private Development Finance,,39.700576716668,
2012.0,8.0,Norway,10.0,ODA,,94.69864403254972,
2012.0,12.0,United Kingdom,10.0,ODA,,7987.793443280186,
2012.0,18.0,Finland,10.0,ODA,,1048.902941283,
2012.0,50.0,Spain,10.0,ODA,,0.020824039199999998,
2012.0,69.0,Slovak Republic,10.0,ODA,,3.0250201719999996,
2012.0,301.0,Canada,10.0,ODA,,581.496995050419,
2012.0,301.0,Canada,50.0,Other flows,,0.525990626331487,
2012.0,302.0,United States,10.0,ODA,,8212.354473,
2012.0,302.0,United States,50.0,Other flows,,9502.8333,
2012.0,576.0,United Arab Emirates,10.0,ODA,,95.87404118,
2012.0,576.0,United Arab Emirates,20.0,OOF,,52.71108957,
2012.0,801.0,Australia,10.0,ODA,,2331.5632807922007,
2012.0,820.0,New Zealand,10.0,ODA,,177.22433481621334,
2012.0,905.0,International Development Association,10.0,ODA,,8581.126869,
2012.0,905.0,International Development Association,20.0,OOF,,13463.113466,
2012.0,909.0,Inter-American Development Bank,20.0,OOF,,6571.701385,
2012.0,913.0,African Development Bank,10.0,ODA,,4190.084312576207,
2012.0,913.0,African Development Bank,21.0,Non-export credit OOF,,0.8694887056424487,
2012.0,914.0,African Development Fund,10.0,ODA,,4190.084312576207,
2012.0,914.0,African Development Fund,21.0,Non-export credit OOF,,0.8694887056424487,
2012.0,918.0,EU Institutions,10.0,ODA,,553.198512676794,
2012.0,959.0,UNDP,10.0,ODA,,244.532703,
2012.0,963.0,UNICEF,10.0,ODA,,2657.07006,
2012.0,976.0,Islamic Development Bank,10.0,ODA,,222.80122723,
2012.0,976.0,Islamic Development Bank,21.0,Non-export credit OOF,,1250.65784802,
2012.0,988.0,IFAD,20.0,OOF,,586.9942950809143,
2012.0,1014.0,Private Infrastructure Development Group,36.0,Private Foreign Direct Investment,,114.31258372849999,
2012.0,1311.0,Global Alliance for Vaccines and Immunization,10.0,ODA,,965.9772098999999,
2012.0,1312.0,Global Fund,10.0,ODA,,3385.66352992,
2012.0,1624.0,William and Flora Hewlett Foundation,30.0,Private Development Finance,,85.56836,
2013.0,2.0,Belgium,10.0,ODA,,152.5563788544,
2013.0,3.0,Denmark,10.0,ODA,,2439.7300518701054,
2013.0,4.0,France,10.0,ODA,,17.413126545902,
2013.0,5.0,Germany,10.0,ODA,,4025.1485660592944,
2013.0,6.0,Italy,10.0,ODA,,28.858793656526,
2013.0,7.0,Netherlands,10.0,ODA,,3371.2769208158,
2013.0,7.0,Netherlands,30.0,Private Development Finance,,65.46980350611601,
2013.0,8.0,Norway,10.0,ODA,,183.5519972875226,
2013.0,12.0,United Kingdom,10.0,ODA,,12165.16625392534,
2013.0,18.0,Finland,10.0,ODA,,1120.668303914,
2013.0,21.0,Ireland,10.0,ODA,,0.0,
2013.0,50.0,Spain,10.0,ODA,,0.025488218400000002,
2013.0,69.0,Slovak Republic,10.0,ODA,,65.2794253784,
2013.0,301.0,Canada,10.0,ODA,,310.9958116034654,
2013.0,301.0,Canada,50.0,Other flows,,0.5709416276097146,
2013.0,302.0,United States,10.0,ODA,,20523.58707,
2013.0,302.0,United States,50.0,Other flows,,9267.190129,
2013.0,566.0,Saudi Arabia,10.0,ODA,,23.525,
2013.0,576.0,United Arab Emirates,10.0,ODA,,107.39877755,
2013.0,576.0,United Arab Emirates,20.0,OOF,,7.89817588,
2013.0,801.0,Australia,10.0,ODA,,2529.1667907933006,
2013.0,820.0,New Zealand,10.0,ODA,,239.32277343796096,
2013.0,905.0,International Development Association,10.0,ODA,,11723.552576,
2013.0,905.0,International Development Association,20.0,OOF,,16150.061171,
2013.0,909.0,Inter-American Development Bank,20.0,OOF,,9257.443298,
2013.0,913.0,African Development Bank,10.0,ODA,,4097.582366612008,
2013.0,913.0,African Development Bank,21.0,Non-export credit OOF,,0.2214508966111672,
2013.0,914.0,African Development Fund,10.0,ODA,,4097.582366612008,
2013.0,914.0,African Development Fund,21.0,Non-export credit OOF,,0.2214508966111672,
2013.0,915.0,Asian Development Bank,10.0,ODA,,10966.8318148,
2013.0,915.0,Asian Development Bank,21.0,Non-export credit OOF,,37445.422799,
2013.0,918.0,EU Institutions,10.0,ODA,,354.960286059908,
2013.0,959.0,UNDP,10.0,ODA,,343.054364,
2013.0,963.0,UNICEF,10.0,ODA,,3434.778538,
2013.0,976.0,Islamic Development Bank,10.0,ODA,,256.74226989,
2013.0,976.0,Islamic Development Bank,21.0,Non-export credit OOF,,1655.44536079,
2013.0,988.0,IFAD,20.0,OOF,,603.7250724168044,
2013.0,1014.0,Private Infrastructure Development Group,36.0,Private Foreign Direct Investment,,117.38720435479999,
2013.0,1311.0,Global Alliance for Vaccines and Immunization,10.0,ODA,,1373.6072675599999,
2013.0,1312.0,Global Fund,10.0,ODA,,4026.37884729,
2013.0,1624.0,William and Flora Hewlett Foundation,30.0,Private Development Finance,,87.037555,
2014.0,1.0,Austria,10.0,ODA,641.311538,,
2014.0,1.0,Austria,21.0,Non-export credit OOF,99.282208,,
2014.0,2.0,Belgium,10.0,ODA,1366.120206,190.943934056,13.977096101600301
2014.0,2.0,Belgium,21.0,Non-export credit OOF,168.662695,,
2014.0,3.0,Denmark,10.0,ODA,2272.786589,2459.2443387772446,108.20392687459864
2014.0,3.0,Denmark,21.0,Non-export credit OOF,50.082936,,
2014.0,4.0,France,10.0,ODA,8306.25906,0.4021154078,0.004841113248398973
2014.0,4.0,France,21.0,Non-export credit OOF,1321.241077,,
2014.0,5.0,Germany,10.0,ODA,14370.244129,4065.706688641053,28.29253735805516
2014.0,5.0,Germany,21.0,Non-export credit OOF,1900.234052,,
2014.0,6.0,Italy,10.0,ODA,1456.301717,86.95476196851601,5.970930402227632
2014.0,6.0,Italy,21.0,Non-export credit OOF,48.47483,,
2014.0,7.0,Netherlands,10.0,ODA,4180.103924,3174.6725036056,75.94721474215673
2014.0,7.0,Netherlands,30.0,Private Development Finance,,104.040307756996,
2014.0,8.0,Norway,10.0,ODA,3913.51171,234.86856907775768,6.00147863305506
2014.0,8.0,Norway,21.0,Non-export credit OOF,520.661758,,
2014.0,9.0,Portugal,10.0,ODA,290.615569,,
2014.0,9.0,Portugal,21.0,Non-export credit OOF,2.6801120000000003,,
2014.0,10.0,Sweden,10.0,ODA,4418.808407,,
2014.0,10.0,Sweden,21.0,Non-export credit OOF,46.835260000000005,,
2014.0,11.0,Switzerland,10.0,ODA,2859.620166,,
2014.0,11.0,Switzerland,21.0,Non-export credit OOF,21.628656,,
2014.0,12.0,United Kingdom,10.0,ODA,11835.323321,9840.418970755054,83.14448793548979
2014.0,12.0,United Kingdom,21.0,Non-export credit OOF,114.059479,,
2014.0,18.0,Finland,10.0,ODA,937.619673,1256.6165714884,134.0219928905438
2014.0,18.0,Finland,21.0,Non-export credit OOF,50.915009,,
2014.0,20.0,Iceland,10.0,ODA,30.938582,,
2014.0,21.0,Ireland,10.0,ODA,524.505445,0.0,0.0
2014.0,22.0,Luxembourg,10.0,ODA,304.54391,,
2014.0,30.0,Cyprus,10.0,ODA,0.1874,,
2014.0,40.0,Greece,10.0,ODA,46.097532,,
2014.0,50.0,Spain,10.0,ODA,705.529527,17.192362737691997,2.4368027247273516
2014.0,50.0,Spain,21.0,Non-export credit OOF,3.749352,,
2014.0,61.0,Slovenia,10.0,ODA,20.212453,,
2014.0,62.0,Croatia,10.0,ODA,30.11,,
2014.0,68.0,Czechia,10.0,ODA,62.574156,,
2014.0,69.0,Slovak Republic,10.0,ODA,16.37913,63.553195334799994,388.01325427418914
2014.0,75.0,Hungary,10.0,ODA,30.097847,,
2014.0,76.0,Poland,10.0,ODA,103.551914,,
2014.0,77.0,Romania,10.0,ODA,69.992284,,
2014.0,82.0,Estonia,10.0,ODA,15.002007,,
2014.0,84.0,Lithuania,10.0,ODA,6.443205,,
2014.0,84.0,Lithuania,21.0,Non-export credit OOF,0.436651,,
2014.0,104.0,Nordic Development Fund [NDF],10.0,ODA,49.600569,,
2014.0,301.0,Canada,10.0,ODA,3323.630084,341.1346942195711,10.263918835667004
2014.0,301.0,Canada,21.0,Non-export credit OOF,62.369874,,
2014.0,301.0,Canada,50.0,Other flows,,0.0905979264309047,
2014.0,302.0,United States,10.0,ODA,28263.415,22665.834181,80.1949593883117
2014.0,302.0,United States,21.0,Non-export credit OOF,281.58446000000004,,
2014.0,302.0,United States,50.0,Other flows,,5710.105154,
2014.0,552.0,Kuwait,10.0,ODA,549.919711,,
2014.0,576.0,United Arab Emirates,10.0,ODA,5062.97039,121.46400218000001,2.399066019029197
2014.0,576.0,United Arab Emirates,20.0,OOF,,1.8404573899999999,
2014.0,576.0,United Arab Emirates,21.0,Non-export credit OOF,501.89219,,
2014.0,611.0,Azerbaijan,10.0,ODA,10.108111,,
2014.0,613.0,Kazakhstan,10.0,ODA,27.08298,,
2014.0,701.0,Japan,10.0,ODA,12569.882605,,
2014.0,742.0,Korea,10.0,ODA,1476.920506,,
2014.0,742.0,Korea,21.0,Non-export credit OOF,7142.18528,,
2014.0,765.0,Timor-Leste,10.0,ODA,3.3,,
2014.0,801.0,Australia,10.0,ODA,3520.767308,2704.054586941401,76.80299066618693
2014.0,801.0,Australia,21.0,Non-export credit OOF,145.367416,,
2014.0,811.0,Global Environment Facility [GEF],10.0,ODA,841.409678,,
2014.0,820.0,New Zealand,10.0,ODA,410.689847,271.9753618679568,66.2240286324772
2014.0,901.0,International Bank for Reconstruction and Development [IBRD],21.0,Non-export credit OOF,15880.431717,,
2014.0,905.0,International Development Association,10.0,ODA,,12905.793493,
2014.0,905.0,International Development Association,20.0,OOF,,15273.620077,
2014.0,905.0,International Development Association [IDA],10.0,ODA,13816.045717,,
2014.0,909.0,Inter-American Development Bank,20.0,OOF,,8899.146631,
2014.0,909.0,Inter-American Development Bank [IDB],10.0,ODA,1938.393774,,
2014.0,909.0,Inter-American Development Bank [IDB],21.0,Non-export credit OOF,8788.84222,,
2014.0,913.0,African Development Bank,10.0,ODA,,3383.7222270749244,
2014.0,913.0,African Development Bank,21.0,Non-export credit OOF,,0.8968314570719812,
2014.0,913.0,African Development Bank [AfDB],10.0,ODA,137.442287,,
2014.0,913.0,African Development Bank [AfDB],21.0,Non-export credit OOF,3044.926204,,
2014.0,914.0,African Development Fund,10.0,ODA,,3383.7222270749244,
2014.0,914.0,African Development Fund,21.0,Non-export credit OOF,,0.8968314570719812,
2014.0,914.0,African Development Fund [AfDF],10.0,ODA,2010.238099,,
2014.0,915.0,Asian Development Bank,10.0,ODA,,2589.9773708400003,
2014.0,915.0,Asian Development Bank,21.0,Non-export credit OOF,,6334.17319279,
2014.0,915.0,Asian Development Bank [AsDB],10.0,ODA,2797.580851,,
2014.0,915.0,Asian Development Bank [AsDB],21.0,Non-export credit OOF,7600.471074999999,,
2014.0,918.0,EU Institutions,10.0,ODA,18453.721632,505.66393459942003,2.740173200199165
2014.0,918.0,EU Institutions,21.0,Non-export credit OOF,868.164136,,
2014.0,918.0,EU Institutions,50.0,Other flows,,0.21366899595000002,
2014.0,921.0,Arab Fund (AFESD),10.0,ODA,884.893648,,
2014.0,923.0,UN Peacebuilding Fund [UNPBF],10.0,ODA,65.010887,,
2014.0,928.0,World Health Organisation [WHO],10.0,ODA,471.363057,,
2014.0,940.0,International Labour Organisation [ILO],10.0,ODA,222.85774,,
2014.0,948.0,UNECE,10.0,ODA,14.008016,,
2014.0,951.0,OPEC Fund for International Development [OPEC Fund],10.0,ODA,460.260777,,
2014.0,951.0,OPEC Fund for International Development [OPEC Fund],21.0,Non-export credit OOF,688.028901,,
2014.0,953.0,Arab Bank for Economic Development in Africa [BADEA],10.0,ODA,125.987086,,
2014.0,958.0,IMF Concessional Trust Funds,10.0,ODA,832.081897,,
2014.0,959.0,UNDP,10.0,ODA,462.968234,477.763112,103.19565726403597
2014.0,963.0,UNICEF,10.0,ODA,1342.399394,4043.924792,301.2460233574867
2014.0,964.0,UNRWA,10.0,ODA,680.100351,,
2014.0,966.0,WFP,10.0,ODA,308.81252,,
2014.0,967.0,UNHCR,10.0,ODA,480.0819,,
2014.0,971.0,UNAIDS,10.0,ODA,238.672026,,
2014.0,974.0,UNFPA,10.0,ODA,340.006673,,
2014.0,976.0,Islamic Development Bank [IsDB],10.0,ODA,245.902372,,
2014.0,976.0,Islamic Development Bank [IsDB],21.0,Non-export credit OOF,1516.684115,,
2014.0,976.0,Islamic Development Bank,10.0,ODA,,275.30971482999996,
2014.0,976.0,Islamic Development Bank,21.0,Non-export credit OOF,,1581.1251403499998,
2014.0,978.0,OSCE,10.0,ODA,130.509086,,
2014.0,988.0,IFAD,10.0,ODA,4.1048,,
2014.0,988.0,IFAD,20.0,OOF,,634.262969154344,
2014.0,990.0,European Bank for Reconstruction and Development [EBRD],21.0,Non-export credit OOF,4823.359967,,
2014.0,1011.0,Climate Investment Funds [CIF],10.0,ODA,350.219838,,
2014.0,1011.0,Climate Investment Funds [CIF],21.0,Non-export credit OOF,56.25,,
2014.0,1012.0,Adaptation Fund,10.0,ODA,40.423097,,
2014.0,1013.0,Council of Europe Development Bank [CEB],10.0,ODA,77.182342,,
2014.0,1013.0,Council of Europe Development Bank [CEB],21.0,Non-export credit OOF,285.37850000000003,,
2014.0,1014.0,Private Infrastructure Development Group,36.0,Private Foreign Direct Investment,,232.0151491472,
2014.0,1311.0,Global Alliance for Vaccines and Immunization [GAVI],10.0,ODA,1414.730221,,
2014.0,1311.0,Global Alliance for Vaccines and Immunization,10.0,ODA,,1306.78919463,
2014.0,1312.0,Global Fund,10.0,ODA,2887.143688,,
2014.0,1312.0,Global Fund,10.0,ODA,,2932.29471612,
2014.0,1313.0,Global Green Growth Institute [GGGI],10.0,ODA,15.524768,,
2014.0,1601.0,Bill & Melinda Gates Foundation,30.0,Private Development Finance,2666.393589,,
2014.0,1605.0,MetLife Foundation,30.0,Private Development Finance,16.879951,,
2014.0,1610.0,MAVA Foundation,30.0,Private Development Finance,26.381417000000003,,
2014.0,1612.0,H&M Foundation,30.0,Private Development Finance,11.91296,,
2014.0,1613.0,Laudes Foundation,30.0,Private Development Finance,9.595825,,
2014.0,1614.0,Charity Projects Ltd (Comic Relief),30.0,Private Development Finance,69.107969,,
2014.0,1616.0,Gatsby Charitable Foundation,30.0,Private Development Finance,8.725741,,
2014.0,1617.0,Conrad N. Hilton Foundation,30.0,Private Development Finance,40.781,,
2014.0,1624.0,William and Flora Hewlett Foundation,30.0,Private Development Finance,,90.615645,
2015.0,1.0,Austria,10.0,ODA,788.962281,,
2015.0,1.0,Austria,21.0,Non-export credit OOF,100.470542,,
2015.0,2.0,Belgium,10.0,ODA,1183.104747,62.5882816446,5.290172472328014
2015.0,2.0,Belgium,21.0,Non-export credit OOF,97.771912,,
2015.0,3.0,Denmark,10.0,ODA,1979.589749,2556.044773900667,129.11992372115822
2015.0,3.0,Denmark,21.0,Non-export credit OOF,37.630473,,
2015.0,4.0,France,10.0,ODA,6796.412183,,
2015.0,4.0,France,21.0,Non-export credit OOF,1213.029044,,
2015.0,5.0,Germany,10.0,ODA,15924.393886,5204.462411818092,32.68232655557219
2015.0,5.0,Germany,21.0,Non-export credit OOF,2599.581187,,
2015.0,6.0,Italy,10.0,ODA,1879.684418,110.755222864082,5.8922243438037585
2015.0,6.0,Italy,21.0,Non-export credit OOF,29.368408,,
2015.0,7.0,Netherlands,10.0,ODA,4256.002484000001,3181.6290656227998,74.75627839936193
2015.0,7.0,Netherlands,30.0,Private Development Finance,,108.448649450658,
2015.0,8.0,Norway,10.0,ODA,3333.592572,303.21779294755873,9.095826391454978
2015.0,8.0,Norway,21.0,Non-export credit OOF,803.391429,,
2015.0,9.0,Portugal,10.0,ODA,191.909571,,
2015.0,9.0,Portugal,21.0,Non-export credit OOF,1.386578,,
2015.0,10.0,Sweden,10.0,ODA,4908.106676,,
2015.0,10.0,Sweden,21.0,Non-export credit OOF,46.025414,,
2015.0,11.0,Switzerland,10.0,ODA,2821.527028,,
2015.0,11.0,Switzerland,21.0,Non-export credit OOF,27.010495,,
2015.0,12.0,United Kingdom,10.0,ODA,11849.265044,8900.236593667212,75.11214037847807
2015.0,18.0,Finland,10.0,ODA,718.224951,1245.7550902032,173.449152451291
2015.0,18.0,Finland,21.0,Non-export credit OOF,45.258398,,
2015.0,20.0,Iceland,10.0,ODA,31.042642,,
2015.0,21.0,Ireland,10.0,ODA,427.466447,0.0,0.0
2015.0,22.0,Luxembourg,10.0,ODA,262.678028,,
2015.0,30.0,Cyprus,10.0,ODA,0.5677,,
2015.0,40.0,Greece,10.0,ODA,71.88911999999999,,
2015.0,45.0,Malta,10.0,ODA,8.015769,,
2015.0,50.0,Spain,10.0,ODA,756.655251,80.858082029412,10.686251357213141
2015.0,50.0,Spain,21.0,Non-export credit OOF,5.797047,,
2015.0,55.0,Türkiye,10.0,ODA,4095.9,,
2015.0,61.0,Slovenia,10.0,ODA,25.101361,,
2015.0,62.0,Croatia,10.0,ODA,16.2,,
2015.0,68.0,Czechia,10.0,ODA,70.103726,,
2015.0,69.0,Slovak Republic,10.0,ODA,17.2406,80.705784052,468.1147062863241
2015.0,70.0,Liechtenstein,10.0,ODA,19.0511,,
2015.0,72.0,Bulgaria,10.0,ODA,1.4,,
2015.0,75.0,Hungary,10.0,ODA,47.342042,,
2015.0,76.0,Poland,10.0,ODA,124.884776,,
2015.0,77.0,Romania,10.0,ODA,33.181724,,
2015.0,82.0,Estonia,10.0,ODA,15.042702,,
2015.0,83.0,Latvia,10.0,ODA,2.208621,,
2015.0,84.0,Lithuania,10.0,ODA,9.80787,,
2015.0,84.0,Lithuania,21.0,Non-export credit OOF,0.310842,,
2015.0,104.0,Nordic Development Fund [NDF],10.0,ODA,39.186323,,
2015.0,301.0,Canada,10.0,ODA,3014.538205,687.5699435875587,22.808466731227202
2015.0,301.0,Canada,20.0,OOF,,1.9982820053969605,
2015.0,301.0,Canada,21.0,Non-export credit OOF,63.062662,,
2015.0,301.0,Canada,50.0,Other flows,,0.04986507598352507,
2015.0,302.0,United States,10.0,ODA,27402.328903,21563.584563,78.69252514752213
2015.0,302.0,United States,21.0,Non-export credit OOF,687.035301,,
2015.0,302.0,United States,50.0,Other flows,,9692.543678,
2015.0,546.0,Israel,10.0,ODA,212.972513,,
2015.0,552.0,Kuwait,10.0,ODA,631.714793,,
2015.0,566.0,Saudi Arabia,10.0,ODA,889.34533,0.012616,0.001418571568819055
2015.0,566.0,Saudi Arabia,21.0,Non-export credit OOF,4.95846,,
2015.0,576.0,United Arab Emirates,10.0,ODA,4461.454707,124.88401037,2.799176918103811
2015.0,576.0,United Arab Emirates,20.0,OOF,,0.0,
2015.0,576.0,United Arab Emirates,21.0,Non-export credit OOF,3836.425092,,
2015.0,611.0,Azerbaijan,10.0,ODA,7.1196150000000005,,
2015.0,613.0,Kazakhstan,10.0,ODA,34.025127,,
2015.0,701.0,Japan,10.0,ODA,11991.625662,,
2015.0,732.0,Chinese Taipei,10.0,ODA,225.04,,
2015.0,742.0,Korea,10.0,ODA,1548.903213,,
2015.0,742.0,Korea,21.0,Non-export credit OOF,12666.085249,,
2015.0,764.0,Thailand,10.0,ODA,70.785606,,
2015.0,765.0,Timor-Leste,10.0,ODA,4.0,,
2015.0,801.0,Australia,10.0,ODA,2755.933763,2843.1712126657008,103.16544072418989
2015.0,801.0,Australia,21.0,Non-export credit OOF,283.292174,,
2015.0,807.0,UNEP,10.0,ODA,125.17533,,
2015.0,811.0,Global Environment Facility [GEF],10.0,ODA,813.068074,,
2015.0,812.0,Montreal Protocol,10.0,ODA,45.29777,,
2015.0,820.0,New Zealand,10.0,ODA,359.364842,273.76157847070624,76.179288142691
2015.0,901.0,International Bank for Reconstruction and Development,50.0,Other flows,,126.76581205092799,
2015.0,901.0,International Bank for Reconstruction and Development [IBRD],21.0,Non-export credit OOF,19256.286297,,
2015.0,905.0,International Development Association,10.0,ODA,,11139.095507,
2015.0,905.0,International Development Association,20.0,OOF,,16450.15675,
2015.0,905.0,International Development Association [IDA],10.0,ODA,13495.775009,,
2015.0,906.0,Caribbean Development Bank [CarDB],10.0,ODA,57.146946,,
2015.0,906.0,Caribbean Development Bank [CarDB],21.0,Non-export credit OOF,85.359417,,
2015.0,909.0,Inter-American Development Bank,20.0,OOF,,9487.123996,
2015.0,909.0,Inter-American Development Bank [IDB],10.0,ODA,2125.91799,,
2015.0,909.0,Inter-American Development Bank [IDB],21.0,Non-export credit OOF,8938.00512,,
2015.0,913.0,African Development Bank,10.0,ODA,,3331.3653141161076,
2015.0,913.0,African Development Bank,21.0,Non-export credit OOF,,12.275171793537675,
2015.0,913.0,African Development Bank [AfDB],10.0,ODA,123.73198,,
2015.0,913.0,African Development Bank [AfDB],21.0,Non-export credit OOF,2376.11606,,
2015.0,914.0,African Development Fund,10.0,ODA,,3331.3653141161076,
2015.0,914.0,African Development Fund,21.0,Non-export credit OOF,,12.275171793537675,
2015.0,914.0,African Development Fund [AfDF],10.0,ODA,2158.55949,,
2015.0,915.0,Asian Development Bank,10.0,ODA,,2536.98715551,
2015.0,915.0,Asian Development Bank,21.0,Non-export credit OOF,,8444.54236706,
2015.0,915.0,Asian Development Bank [AsDB],10.0,ODA,2699.53264,,
2015.0,915.0,Asian Development Bank [AsDB],21.0,Non-export credit OOF,9784.57502,,
2015.0,918.0,EU Institutions,10.0,ODA,15555.129846,547.678924648624,3.5208894433591604
2015.0,918.0,EU Institutions,21.0,Non-export credit OOF,719.390403,,
2015.0,918.0,EU Institutions,50.0,Other flows,,5.714095412034,
2015.0,921.0,Arab Fund (AFESD),10.0,ODA,618.374831,,
2015.0,923.0,UN Peacebuilding Fund [UNPBF],10.0,ODA,71.753133,,
2015.0,928.0,World Health Organisation [WHO],10.0,ODA,663.96306,,
2015.0,940.0,International Labour Organisation [ILO],10.0,ODA,285.73538,,
2015.0,944.0,International Atomic Energy Agency [IAEA],10.0,ODA,63.679799,,
2015.0,948.0,UNECE,10.0,ODA,13.7605,,
2015.0,951.0,OPEC Fund for International Development [OPEC Fund],10.0,ODA,395.472324,,
2015.0,951.0,OPEC Fund for International Development [OPEC Fund],21.0,Non-export credit OOF,633.017829,,
2015.0,953.0,Arab Bank for Economic Development in Africa [BADEA],10.0,ODA,125.568847,,
2015.0,958.0,IMF Concessional Trust Funds,10.0,ODA,1471.76056,,
2015.0,959.0,UNDP,10.0,ODA,420.346602,904.939744,215.28418207600973
2015.0,963.0,UNICEF,10.0,ODA,1401.925152,4607.784198,328.67547824692997
2015.0,964.0,UNRWA,10.0,ODA,771.3794800000001,,
2015.0,966.0,WFP,10.0,ODA,286.569263,,
2015.0,967.0,UNHCR,10.0,ODA,460.72352500000005,,
2015.0,971.0,UNAIDS,10.0,ODA,241.317482,128.6253,53.30127719466259
2015.0,974.0,UNFPA,10.0,ODA,313.274106,,
2015.0,976.0,Islamic Development Bank [IsDB],10.0,ODA,194.85716,,
2015.0,976.0,Islamic Development Bank [IsDB],21.0,Non-export credit OOF,1833.17372,,
2015.0,976.0,Islamic Development Bank,10.0,ODA,,189.90805568000002,
2015.0,976.0,Islamic Development Bank,21.0,Non-export credit OOF,,1885.85203002,
